t(s)	Ln(S(t))
0.1 -0.0596858
0.2 -0.109999
0.3 -0.155268
0.4 -0.197513
0.5 -0.237779
0.6 -0.276658
0.7 -0.314516
0.8 -0.351592
0.9 -0.388053
1 -0.424021
1.1 -0.459585
1.2 -0.494813
1.3 -0.529762
1.4 -0.564473
1.5 -0.598981
1.6 -0.633317
1.7 -0.667502
1.8 -0.701557
1.9 -0.735499
2 -0.769342
2.1 -0.803097
2.2 -0.836775
2.3 -0.870385
2.4 -0.903935
2.5 -0.937429
2.6 -0.970876
2.7 -1.00428
2.8 -1.03764
2.9 -1.07097
3 -1.10426
3.1 -1.13753
3.2 -1.17077
3.3 -1.20398
3.4 -1.23717
3.5 -1.27035
3.6 -1.3035
3.7 -1.33663
3.8 -1.36975
3.9 -1.40285
4 -1.43594
4.1 -1.46901
4.2 -1.50207
4.3 -1.53512
4.4 -1.56816
4.5 -1.60119
4.6 -1.63421
4.7 -1.66722
4.8 -1.70022
4.9 -1.73322
5 -1.7662
5.1 -1.79918
5.2 -1.83215
5.3 -1.86512
5.4 -1.89808
5.5 -1.93104
5.6 -1.96398
5.7 -1.99693
5.8 -2.02987
5.9 -2.0628
6 -2.09573
6.1 -2.12866
6.2 -2.16158
6.3 -2.1945
6.4 -2.22741
6.5 -2.26033
6.6 -2.29324
6.7 -2.32614
6.8 -2.35904
6.9 -2.39194
7 -2.42484
7.1 -2.45774
7.2 -2.49063
7.3 -2.52352
7.4 -2.55641
7.5 -2.5893
7.6 -2.62218
7.7 -2.65506
7.8 -2.68794
7.9 -2.72082
8 -2.7537
8.1 -2.78658
8.2 -2.81945
8.3 -2.85233
8.4 -2.8852
8.5 -2.91807
8.6 -2.95094
8.7 -2.98381
8.8 -3.01668
8.9 -3.04955
9 -3.08241
9.1 -3.11528
9.2 -3.14814
9.3 -3.18101
9.4 -3.21387
9.5 -3.24673
9.6 -3.2796
9.7 -3.31246
9.8 -3.34532
9.9 -3.37818
10 -3.41104
