t(s)	Ln(S(t))
1 -0.127736
2 -0.20019
3 -0.260056
4 -0.313753
5 -0.363699
6 -0.411098
7 -0.456647
8 -0.50079
9 -0.543825
10 -0.585963
11 -0.627361
12 -0.668136
13 -0.70838
14 -0.748168
15 -0.78756
16 -0.826609
17 -0.865355
18 -0.903838
19 -0.942088
20 -0.980133
21 -1.018
22 -1.0557
23 -1.09327
24 -1.13071
25 -1.16805
26 -1.20529
27 -1.24244
28 -1.27952
29 -1.31653
30 -1.35348
31 -1.39038
32 -1.42724
33 -1.46406
34 -1.50084
35 -1.53759
36 -1.57432
37 -1.61101
38 -1.64769
39 -1.68435
40 -1.72099
41 -1.75762
42 -1.79424
43 -1.83084
44 -1.86743
45 -1.90402
46 -1.9406
47 -1.97717
48 -2.01373
49 -2.05029
50 -2.08685
51 -2.1234
52 -2.15994
53 -2.19648
54 -2.23303
55 -2.26956
56 -2.3061
57 -2.34263
58 -2.37917
59 -2.4157
60 -2.45222
61 -2.48875
62 -2.52528
63 -2.56181
64 -2.59833
65 -2.63486
66 -2.67138
67 -2.7079
68 -2.74443
69 -2.78095
70 -2.81747
71 -2.85399
72 -2.89051
73 -2.92704
74 -2.96356
75 -3.00008
76 -3.0366
77 -3.07312
78 -3.10964
79 -3.14616
80 -3.18268
81 -3.2192
82 -3.25572
83 -3.29224
84 -3.32876
85 -3.36528
86 -3.4018
87 -3.43832
88 -3.47484
89 -3.51136
90 -3.54788
91 -3.5844
92 -3.62092
93 -3.65744
94 -3.69396
95 -3.73048
96 -3.767
97 -3.80351
98 -3.84003
99 -3.87655
100 -3.91307
