t(s)	Ln(S(t))
0.1 -0.0873958
0.2 -0.164343
0.3 -0.23572
0.4 -0.303856
0.5 -0.369959
0.6 -0.434701
0.7 -0.498484
0.8 -0.561566
0.9 -0.624115
1 -0.686251
1.1 -0.748057
1.2 -0.809595
1.3 -0.870913
1.4 -0.932047
1.5 -0.993024
1.6 -1.05387
1.7 -1.11459
1.8 -1.17522
1.9 -1.23575
2 -1.29621
2.1 -1.3566
2.2 -1.41692
2.3 -1.47718
2.4 -1.5374
2.5 -1.59756
2.6 -1.65769
2.7 -1.71777
2.8 -1.77782
2.9 -1.83783
3 -1.89782
3.1 -1.95777
3.2 -2.0177
3.3 -2.07761
3.4 -2.13749
3.5 -2.19736
3.6 -2.2572
3.7 -2.31702
3.8 -2.37683
3.9 -2.43662
4 -2.4964
4.1 -2.55616
4.2 -2.61591
4.3 -2.67564
4.4 -2.73537
4.5 -2.79508
4.6 -2.85478
4.7 -2.91448
4.8 -2.97416
4.9 -3.03384
5 -3.0935
5.1 -3.15316
5.2 -3.21282
5.3 -3.27246
5.4 -3.3321
5.5 -3.39173
5.6 -3.45136
5.7 -3.51098
5.8 -3.5706
5.9 -3.63021
6 -3.68981
6.1 -3.74942
6.2 -3.80901
6.3 -3.86861
6.4 -3.9282
6.5 -3.98779
6.6 -4.04737
6.7 -4.10695
6.8 -4.16653
6.9 -4.2261
7 -4.28567
7.1 -4.34524
7.2 -4.40481
7.3 -4.46437
7.4 -4.52394
7.5 -4.5835
7.6 -4.64306
7.7 -4.70261
7.8 -4.76217
7.9 -4.82172
8 -4.88127
8.1 -4.94082
8.2 -5.00037
8.3 -5.05992
8.4 -5.11946
8.5 -5.17901
8.6 -5.23855
8.7 -5.2981
8.8 -5.35764
8.9 -5.41718
9 -5.47672
9.1 -5.53626
9.2 -5.5958
9.3 -5.65533
9.4 -5.71487
9.5 -5.77441
9.6 -5.83394
9.7 -5.89348
9.8 -5.95301
9.9 -6.01254
10 -6.07208
