t(s)	Ln(S(t))
1 -0.104621
2 -0.161803
3 -0.209298
4 -0.252735
5 -0.293928
6 -0.333677
7 -0.372418
8 -0.410412
9 -0.447835
10 -0.484803
11 -0.521399
12 -0.557686
13 -0.593709
14 -0.629505
15 -0.665101
16 -0.700522
17 -0.735787
18 -0.770914
19 -0.805917
20 -0.840809
21 -0.875602
22 -0.910306
23 -0.94493
24 -0.979482
25 -1.01397
26 -1.0484
27 -1.08278
28 -1.11711
29 -1.15139
30 -1.18564
31 -1.21986
32 -1.25404
33 -1.2882
34 -1.32233
35 -1.35644
36 -1.39053
37 -1.42461
38 -1.45866
39 -1.4927
40 -1.52673
41 -1.56075
42 -1.59475
43 -1.62875
44 -1.66274
45 -1.69672
46 -1.73069
47 -1.76466
48 -1.79862
49 -1.83257
50 -1.86652
51 -1.90047
52 -1.93441
53 -1.96836
54 -2.00229
55 -2.03623
56 -2.07016
57 -2.10409
58 -2.13802
59 -2.17195
60 -2.20587
61 -2.2398
62 -2.27372
63 -2.30764
64 -2.34156
65 -2.37548
66 -2.4094
67 -2.44332
68 -2.47723
69 -2.51115
70 -2.54507
71 -2.57898
72 -2.6129
73 -2.64681
74 -2.68073
75 -2.71464
76 -2.74855
77 -2.78247
78 -2.81638
79 -2.85029
80 -2.88421
81 -2.91812
82 -2.95203
83 -2.98595
84 -3.01986
85 -3.05377
86 -3.08768
87 -3.1216
88 -3.15551
89 -3.18942
90 -3.22333
91 -3.25724
92 -3.29116
93 -3.32507
94 -3.35898
95 -3.39289
96 -3.4268
97 -3.46071
98 -3.49463
99 -3.52854
100 -3.56245
